,# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
0,1st,Stephen Curry,21.0,GSW,58.0,58.0,1.0,29.0,0.0,80.0,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,4.7,0.077,2010
1,1st,Tyreke Evans,20.0,SAC,58.0,58.0,1.0,29.0,0.0,72.0,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,2010
2,1st,Brandon Jennings,20.0,MIL,58.0,58.0,1.0,29.0,0.0,82.0,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,4.2,0.075,2010
3,1st,Darren Collison,22.0,NOH,46.0,58.0,0.793,20.0,6.0,76.0,27.8,12.4,2.5,5.7,1.0,0.1,0.477,0.4,0.851,2.9,0.067,2010
4,1st,Taj Gibson,24.0,CHI,41.0,58.0,0.707,15.0,11.0,82.0,26.9,9.0,7.5,0.9,0.6,1.3,0.494,,0.646,4.7,0.103,2010
6,2nd,Marcus Thornton,22.0,NOH,31.0,58.0,0.534,6.0,19.0,73.0,25.6,14.5,2.9,1.6,0.8,0.2,0.451,0.374,0.814,4.0,0.103,2010
7,2nd,DeJuan Blair,20.0,SAS,30.0,58.0,0.517,6.0,18.0,82.0,18.2,7.8,6.4,0.8,0.6,0.5,0.556,0.0,0.547,4.6,0.147,2010
8,2nd,Jonny Flynn,20.0,MIN,22.0,58.0,0.379,4.0,14.0,81.0,28.9,13.5,2.4,4.4,1.0,0.0,0.417,0.358,0.826,0.1,0.002,2010
9,2nd,James Harden,20.0,OKC,22.0,58.0,0.379,4.0,14.0,76.0,22.9,9.9,3.2,1.8,1.1,0.3,0.403,0.375,0.808,4.5,0.124,2010
10,2nd,Jonas Jerebko,22.0,DET,22.0,58.0,0.379,2.0,18.0,80.0,27.9,9.3,6.0,0.7,1.0,0.4,0.481,0.313,0.71,4.4,0.095,2010
12,ORV,Wesley Matthews,23.0,UTA,16.0,58.0,0.276,3.0,10.0,82.0,24.7,9.4,2.3,1.5,0.8,0.2,0.483,0.382,0.829,4.6,0.108,2010
13,ORV,Omri Casspi,21.0,SAC,13.0,58.0,0.224,0.0,13.0,77.0,25.1,10.3,4.5,1.2,0.7,0.2,0.446,0.369,0.672,2.5,0.063,2010
14,ORV,Chase Budinger,21.0,HOU,8.0,58.0,0.138,0.0,8.0,74.0,20.1,8.9,3.0,1.2,0.5,0.1,0.441,0.369,0.77,3.1,0.1,2010
15,ORV,Jrue Holiday,19.0,PHI,7.0,58.0,0.121,1.0,5.0,73.0,24.2,8.0,2.6,3.8,1.1,0.2,0.442,0.39,0.756,1.2,0.032,2010
16,ORV,Ty Lawson,22.0,DEN,7.0,58.0,0.121,0.0,7.0,65.0,20.3,8.3,1.9,3.1,0.7,0.0,0.515,0.41,0.757,3.7,0.135,2010
17,ORV,Serge Ibaka,20.0,OKC,6.0,58.0,0.103,1.0,4.0,73.0,18.1,6.3,5.4,0.1,0.3,1.3,0.543,0.5,0.63,3.7,0.134,2010
18,ORV,Toney Douglas,23.0,NYK,2.0,58.0,0.034,1.0,0.0,56.0,19.4,8.6,1.9,2.0,0.8,0.1,0.458,0.389,0.809,2.2,0.097,2010
19,ORV,Rodrigue Beaubois,21.0,DAL,1.0,58.0,0.017,0.0,1.0,56.0,12.5,7.1,1.4,1.3,0.5,0.2,0.518,0.409,0.808,2.0,0.134,2010
20,ORV,DeMar DeRozan,20.0,TOR,1.0,58.0,0.017,0.0,1.0,77.0,21.6,8.6,2.9,0.7,0.6,0.2,0.498,0.25,0.763,2.3,0.066,2010
21,ORV,Sam Young,24.0,MEM,1.0,58.0,0.017,0.0,1.0,80.0,16.5,7.4,2.5,0.7,0.4,0.3,0.451,0.196,0.777,1.2,0.044,2010
22,1st,Blake Griffin,21.0,LAC,58.0,58.0,1.0,29.0,0.0,82.0,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,2011
23,1st,John Wall,20.0,WAS,57.0,58.0,0.983,28.0,1.0,69.0,37.8,16.4,4.6,8.3,1.8,0.5,0.409,0.296,0.766,2.2,0.041,2011
24,1st,Landry Fields,22.0,NYK,56.0,58.0,0.966,28.0,0.0,82.0,31.0,9.7,6.4,1.9,1.0,0.2,0.497,0.393,0.769,5.3,0.1,2011
25,1st,DeMarcus Cousins,20.0,SAC,54.0,58.0,0.931,26.0,2.0,81.0,28.5,14.1,8.6,2.5,1.0,0.8,0.43,0.167,0.687,1.1,0.022,2011
26,1st,Gary Neal,26.0,SAS,44.0,58.0,0.759,18.0,8.0,80.0,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.808,3.5,0.099,2011
28,2nd,Greg Monroe,20.0,DET,42.0,58.0,0.724,13.0,16.0,80.0,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0.0,0.622,6.6,0.143,2011
29,2nd,Wesley Johnson,23.0,MIN,26.0,58.0,0.448,4.0,18.0,79.0,26.2,9.0,3.0,1.9,0.7,0.7,0.397,0.356,0.696,1.3,0.03,2011
30,2nd,Eric Bledsoe,21.0,LAC,19.0,58.0,0.328,0.0,19.0,81.0,22.7,6.7,2.8,3.6,1.1,0.3,0.424,0.276,0.744,0.3,0.008,2011
31,2nd,Paul George,20.0,IND,12.0,58.0,0.207,1.0,10.0,61.0,20.7,7.8,3.7,1.1,1.0,0.4,0.453,0.297,0.762,2.4,0.091,2011
33,ORV,Evan Turner,22.0,PHI,12.0,58.0,0.207,0.0,12.0,78.0,23.0,7.2,3.9,2.0,0.6,0.2,0.425,0.318,0.808,2.3,0.06,2011
34,ORV,Ed Davis,21.0,TOR,10.0,58.0,0.172,1.0,8.0,65.0,24.6,7.7,7.1,0.6,0.6,1.0,0.576,,0.555,4.0,0.119,2011
35,ORV,Gordon Hayward,20.0,UTA,7.0,58.0,0.121,0.0,7.0,72.0,16.9,5.4,1.9,1.1,0.4,0.3,0.485,0.473,0.711,1.2,0.048,2011
36,ORV,Ömer Aşık,24.0,CHI,6.0,58.0,0.103,1.0,4.0,82.0,12.1,2.8,3.7,0.4,0.2,0.7,0.553,,0.503,2.7,0.13,2011
37,ORV,Patrick Patterson,21.0,HOU,5.0,58.0,0.086,0.0,5.0,52.0,16.7,6.3,3.8,0.8,0.3,0.7,0.558,0.0,0.714,2.4,0.134,2011
38,ORV,Al-Farouq Aminu,20.0,LAC,3.0,58.0,0.052,0.0,3.0,81.0,17.9,5.6,3.3,0.7,0.7,0.3,0.394,0.315,0.773,0.7,0.022,2011
39,ORV,Tiago Splitter,26.0,SAS,3.0,58.0,0.052,0.0,3.0,60.0,12.3,4.6,3.4,0.4,0.5,0.3,0.529,0.0,0.543,2.3,0.149,2011
40,ORV,Trevor Booker,23.0,WAS,1.0,58.0,0.017,0.0,1.0,65.0,16.4,5.3,3.9,0.5,0.4,0.6,0.549,0.0,0.673,2.6,0.119,2011
41,ORV,Christian Eyenga,21.0,CLE,1.0,58.0,0.017,0.0,1.0,44.0,21.5,6.9,2.8,0.8,0.8,0.6,0.425,0.275,0.643,-0.3,-0.016,2011
42,ORV,Ekpe Udoh,23.0,GSW,1.0,58.0,0.017,0.0,1.0,58.0,17.8,4.1,3.1,0.7,0.4,1.5,0.437,,0.656,0.7,0.032,2011
43,1st,Kyrie Irving,19.0,CLE,58.0,58.0,1.0,29.0,0.0,51.0,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,2012
44,1st,Ricky Rubio,21.0,MIN,49.0,58.0,0.845,21.0,7.0,41.0,34.2,10.6,4.2,8.2,2.2,0.2,0.357,0.34,0.803,2.0,0.07,2012
45,1st,Kenneth Faried,22.0,DEN,46.0,58.0,0.793,19.0,8.0,46.0,22.5,10.2,7.7,0.8,0.7,1.0,0.586,,0.665,4.6,0.212,2012
46,1st,Klay Thompson,21.0,GSW,43.0,58.0,0.741,16.0,11.0,66.0,24.4,12.5,2.4,2.0,0.7,0.3,0.443,0.414,0.868,1.7,0.05,2012
47,1st,Iman Shumpert,21.0,NYK,40.0,58.0,0.69,15.0,10.0,59.0,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.798,2.4,0.068,2012
48,1st,Kawhi Leonard,20.0,SAS,40.0,58.0,0.69,14.0,12.0,64.0,24.0,7.9,5.1,1.1,1.3,0.4,0.493,0.376,0.773,5.5,0.171,2012
49,1st,Brandon Knight,20.0,DET,40.0,58.0,0.69,13.0,14.0,66.0,32.3,12.8,3.2,3.8,0.7,0.2,0.415,0.38,0.759,1.3,0.029,2012
51,2nd,Chandler Parsons,23.0,HOU,33.0,58.0,0.569,10.0,13.0,63.0,28.6,9.5,4.8,2.1,1.2,0.5,0.452,0.337,0.551,3.4,0.09,2012
52,2nd,Isaiah Thomas,22.0,SAC,27.0,58.0,0.466,5.0,17.0,65.0,25.5,11.5,2.6,4.1,0.8,0.1,0.448,0.379,0.832,4.3,0.124,2012
53,2nd,MarShon Brooks,23.0,NJN,18.0,58.0,0.31,3.0,12.0,56.0,29.4,12.6,3.6,2.3,0.9,0.3,0.428,0.313,0.764,0.8,0.022,2012
54,2nd,Tristan Thompson,20.0,CLE,16.0,58.0,0.276,2.0,12.0,60.0,23.7,8.2,6.5,0.5,0.5,1.0,0.439,0.0,0.552,1.1,0.038,2012
55,2nd,Derrick Williams,20.0,MIN,16.0,58.0,0.276,2.0,12.0,66.0,21.5,8.8,4.7,0.6,0.5,0.5,0.412,0.268,0.697,1.8,0.059,2012
57,ORV,Markieff Morris,22.0,PHO,7.0,58.0,0.121,1.0,5.0,63.0,19.5,7.4,4.4,1.0,0.7,0.7,0.399,0.347,0.717,1.5,0.059,2012
58,ORV,Kemba Walker,21.0,CHA,7.0,58.0,0.121,0.0,7.0,66.0,27.2,12.1,3.5,4.4,0.9,0.3,0.366,0.305,0.789,0.3,0.009,2012
59,ORV,Bismack Biyombo,19.0,CHA,2.0,58.0,0.034,0.0,2.0,63.0,23.1,5.2,5.8,0.4,0.3,1.8,0.464,,0.483,0.6,0.019,2012
